threshold,tp,fp,fn,tn,precision,recall,f1,iou
0.05,0,0,337226,5102262,0.0,0.0,0.0,0.0
0.1,19759,263860,317467,4838402,0.06966740592132403,0.058592753820879764,0.06365195821823483,0.032872168042509725
0.15,96238,471993,240988,4630269,0.16936421983313124,0.285381316980304,0.21257331932935525,0.11892701481304814
0.2,73223,326410,264003,4775852,0.18322560949671324,0.21713331712264178,0.19874358595063643,0.1103360878553906
0.25,27987,165275,309239,4936987,0.14481377611739504,0.08299182150842462,0.10551416808674277,0.0556954115514198
0.3,14481,59262,322745,5043000,0.19637118099345022,0.042941528826365705,0.07047246872635163,0.03652317346300519
0.35,9028,12520,328198,5089742,0.4189715982921849,0.026771364011078623,0.05032694676871791,0.025813018590634347
0.4,6661,3852,330565,5098410,0.6335964995719585,0.019752332263823075,0.038310341951866195,0.01952925723734747
0.45,4032,1506,333194,5100756,0.7280606717226435,0.011956373470610213,0.02352639133631303,0.01190321552141516
0.5,2591,943,334635,5101319,0.7331635540464063,0.007683274717845006,0.015207183941777204,0.007661849548598482
