threshold,precision,recall,f1,iou
0.01,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.075,0.009886260921964447,0.0015568194623190382,0.0026900315117977095,0.001346827259783738
0.1,0.06966740592132403,0.058592753820879764,0.06365195821823483,0.032872168042509725
0.125,0.16057780801088392,0.15470040862804174,0.15758432523949986,0.08553136374069581
0.15,0.16936421983313124,0.285381316980304,0.21257331932935525,0.11892701481304814
0.175,0.18738936471696288,0.2643153256273241,0.2193020440700318,0.12315510518767427
0.2,0.18322560949671324,0.21713331712264178,0.19874358595063643,0.1103360878553906
0.25,0.14481377611739504,0.08299182150842462,0.10551416808674277,0.0556954115514198
0.3,0.19637118099345022,0.042941528826365705,0.07047246872635163,0.03652317346300519
0.35,0.4189715982921849,0.026771364011078623,0.05032694676871791,0.025813018590634347
0.4,0.6335964995719585,0.019752332263823075,0.038310341951866195,0.01952925723734747
0.45,0.7280606717226435,0.011956373470610213,0.02352639133631303,0.01190321552141516
0.5,0.7331635540464063,0.007683274717845006,0.015207183941777204,0.007661849548598482
0.55,0.7530918727915195,0.005055956539531353,0.010044478482429528,0.005047589442988883
0.6,0.9142857142857143,0.0034161067058886326,0.006806780782661616,0.0034150130138082733
