image_threshold,pixel_threshold,precision,recall,f1,iou
1.2,0.4,0.3314,0.1442,0.2010,0.1117
1.2,0.6,0.6467,0.4026,0.4963,0.3300
1.2,0.8,0.7845,0.1537,0.2570,0.1475
1.2,1.0,0.0000,0.0000,0.0000,0.0000
1.2,1.2,0.0000,0.0000,0.0000,0.0000
1.2,1.4,0.0000,0.0000,0.0000,0.0000
1.2,1.6,0.0000,0.0000,0.0000,0.0000
1.2,1.8,0.0000,0.0000,0.0000,0.0000
1.2,2.0,0.0000,0.0000,0.0000,0.0000
1.5,0.4,0.3577,0.1442,0.2055,0.1145
1.5,0.6,0.6548,0.4026,0.4986,0.3321
1.5,0.8,0.7938,0.1537,0.2575,0.1478
1.5,1.0,0.0000,0.0000,0.0000,0.0000
1.5,1.2,0.0000,0.0000,0.0000,0.0000
1.5,1.4,0.0000,0.0000,0.0000,0.0000
1.5,1.6,0.0000,0.0000,0.0000,0.0000
1.5,1.8,0.0000,0.0000,0.0000,0.0000
1.5,2.0,0.0000,0.0000,0.0000,0.0000
1.8,0.4,0.4340,0.1442,0.2165,0.1214
1.8,0.6,0.6851,0.3955,0.5015,0.3346
1.8,0.8,0.8071,0.1524,0.2564,0.1471
1.8,1.0,0.0000,0.0000,0.0000,0.0000
1.8,1.2,0.0000,0.0000,0.0000,0.0000
1.8,1.4,0.0000,0.0000,0.0000,0.0000
1.8,1.6,0.0000,0.0000,0.0000,0.0000
1.8,1.8,0.0000,0.0000,0.0000,0.0000
1.8,2.0,0.0000,0.0000,0.0000,0.0000
2.0,0.4,0.4370,0.1442,0.2168,0.1216
2.0,0.6,0.6858,0.3955,0.5017,0.3348
2.0,0.8,0.8071,0.1524,0.2564,0.1471
2.0,1.0,0.0000,0.0000,0.0000,0.0000
2.0,1.2,0.0000,0.0000,0.0000,0.0000
2.0,1.4,0.0000,0.0000,0.0000,0.0000
2.0,1.6,0.0000,0.0000,0.0000,0.0000
2.0,1.8,0.0000,0.0000,0.0000,0.0000
2.0,2.0,0.0000,0.0000,0.0000,0.0000
2.2,0.4,0.4551,0.1442,0.2190,0.1230
2.2,0.6,0.6875,0.3955,0.5021,0.3352
2.2,0.8,0.8073,0.1480,0.2502,0.1430
2.2,1.0,0.0000,0.0000,0.0000,0.0000
2.2,1.2,0.0000,0.0000,0.0000,0.0000
2.2,1.4,0.0000,0.0000,0.0000,0.0000
2.2,1.6,0.0000,0.0000,0.0000,0.0000
2.2,1.8,0.0000,0.0000,0.0000,0.0000
2.2,2.0,0.0000,0.0000,0.0000,0.0000
2.5,0.4,0.4600,0.1437,0.2189,0.1229
2.5,0.6,0.6852,0.3730,0.4830,0.3184
2.5,0.8,0.8084,0.1460,0.2473,0.1411
2.5,1.0,0.0000,0.0000,0.0000,0.0000
2.5,1.2,0.0000,0.0000,0.0000,0.0000
2.5,1.4,0.0000,0.0000,0.0000,0.0000
2.5,1.6,0.0000,0.0000,0.0000,0.0000
2.5,1.8,0.0000,0.0000,0.0000,0.0000
2.5,2.0,0.0000,0.0000,0.0000,0.0000
