image_threshold,pixel_threshold,precision,recall,f1,iou
1.2,0.6,0.3742,0.9128,0.5308,0.3613
1.2,0.8,0.4724,0.9284,0.6261,0.4557
1.2,1.0,0.5509,0.8276,0.6615,0.4942
1.2,1.2,0.6251,0.7472,0.6807,0.5160
1.2,1.4,0.7079,0.6915,0.6996,0.5380
1.2,1.6,0.7523,0.5602,0.6422,0.4730
1.2,1.8,0.7924,0.4898,0.6054,0.4341
1.2,2.0,0.8159,0.3918,0.5294,0.3600
1.4,0.6,0.3757,0.9128,0.5323,0.3627
1.4,0.8,0.4731,0.9284,0.6268,0.4564
1.4,1.0,0.5511,0.8276,0.6616,0.4944
1.4,1.2,0.6251,0.7472,0.6807,0.5160
1.4,1.4,0.7079,0.6915,0.6996,0.5380
1.4,1.6,0.7523,0.5602,0.6422,0.4730
1.4,1.8,0.7924,0.4898,0.6054,0.4341
1.4,2.0,0.8159,0.3918,0.5294,0.3600
1.5,0.6,0.3759,0.9128,0.5326,0.3629
1.5,0.8,0.4732,0.9284,0.6269,0.4566
1.5,1.0,0.5513,0.8276,0.6617,0.4945
1.5,1.2,0.6251,0.7472,0.6808,0.5160
1.5,1.4,0.7079,0.6915,0.6996,0.5380
1.5,1.6,0.7523,0.5602,0.6422,0.4730
1.5,1.8,0.7924,0.4898,0.6054,0.4341
1.5,2.0,0.8159,0.3918,0.5294,0.3600
1.6,0.6,0.3786,0.9128,0.5352,0.3654
1.6,0.8,0.4750,0.9284,0.6285,0.4582
1.6,1.0,0.5522,0.8276,0.6624,0.4953
1.6,1.2,0.6256,0.7472,0.6810,0.5163
1.6,1.4,0.7079,0.6915,0.6996,0.5380
1.6,1.6,0.7523,0.5602,0.6422,0.4730
1.6,1.8,0.7924,0.4898,0.6054,0.4341
1.6,2.0,0.8159,0.3918,0.5294,0.3600
1.8,0.6,0.3818,0.9069,0.5373,0.3674
1.8,0.8,0.4765,0.9233,0.6286,0.4583
1.8,1.0,0.5535,0.8248,0.6624,0.4953
1.8,1.2,0.6268,0.7459,0.6812,0.5165
1.8,1.4,0.7085,0.6908,0.6995,0.5379
1.8,1.6,0.7523,0.5602,0.6422,0.4730
1.8,1.8,0.7924,0.4898,0.6054,0.4341
1.8,2.0,0.8159,0.3918,0.5294,0.3600
2.0,0.6,0.3822,0.9069,0.5378,0.3678
2.0,0.8,0.4768,0.9233,0.6288,0.4586
2.0,1.0,0.5537,0.8248,0.6626,0.4954
2.0,1.2,0.6269,0.7459,0.6813,0.5166
2.0,1.4,0.7086,0.6908,0.6996,0.5379
2.0,1.6,0.7523,0.5602,0.6422,0.4730
2.0,1.8,0.7924,0.4898,0.6054,0.4341
2.0,2.0,0.8159,0.3918,0.5294,0.3600
