image_threshold,pixel_threshold,precision,recall,f1,iou
1.5,0.05,0.0000,0.0000,0.0000,0.0000
1.5,0.1,0.0000,0.0000,0.0000,0.0000
1.5,0.15,0.0000,0.0000,0.0000,0.0000
1.5,0.2,0.0000,0.0000,0.0000,0.0000
1.5,0.25,0.0025,0.0005,0.0008,0.0004
1.5,0.3,0.0019,0.0005,0.0008,0.0004
1.5,0.35,0.0054,0.0008,0.0014,0.0007
1.5,0.4,0.0639,0.0073,0.0131,0.0066
1.5,0.45,0.1055,0.0182,0.0310,0.0157
1.5,0.5,0.1642,0.0443,0.0698,0.0361
1.5,0.55,0.1960,0.1170,0.1465,0.0791
1.5,0.6,0.2405,0.1833,0.2081,0.1161
1.5,0.7,0.3873,0.3202,0.3505,0.2125
1.5,0.8,0.6063,0.2502,0.3542,0.2152
2.0,0.05,0.0000,0.0000,0.0000,0.0000
2.0,0.1,0.0000,0.0000,0.0000,0.0000
2.0,0.15,0.0000,0.0000,0.0000,0.0000
2.0,0.2,0.0000,0.0000,0.0000,0.0000
2.0,0.25,0.0026,0.0005,0.0008,0.0004
2.0,0.3,0.0019,0.0005,0.0008,0.0004
2.0,0.35,0.0054,0.0008,0.0014,0.0007
2.0,0.4,0.0639,0.0073,0.0131,0.0066
2.0,0.45,0.1055,0.0182,0.0310,0.0157
2.0,0.5,0.1922,0.0443,0.0720,0.0373
2.0,0.55,0.2560,0.1170,0.1606,0.0873
2.0,0.6,0.3949,0.1833,0.2504,0.1431
2.0,0.7,0.5611,0.3202,0.4077,0.2560
2.0,0.8,0.6974,0.2502,0.3683,0.2257
2.3,0.05,0.0000,0.0000,0.0000,0.0000
2.3,0.1,0.0000,0.0000,0.0000,0.0000
2.3,0.15,0.0000,0.0000,0.0000,0.0000
2.3,0.2,0.0000,0.0000,0.0000,0.0000
2.3,0.25,0.0026,0.0005,0.0008,0.0004
2.3,0.3,0.0019,0.0005,0.0008,0.0004
2.3,0.35,0.0054,0.0008,0.0014,0.0007
2.3,0.4,0.0639,0.0073,0.0131,0.0066
2.3,0.45,0.1055,0.0182,0.0310,0.0157
2.3,0.5,0.1962,0.0443,0.0723,0.0375
2.3,0.55,0.3416,0.1170,0.1743,0.0955
2.3,0.6,0.5110,0.1833,0.2699,0.1560
2.3,0.7,0.6231,0.3202,0.4230,0.2682
2.3,0.8,0.7329,0.2413,0.3631,0.2218
2.5,0.05,0.0000,0.0000,0.0000,0.0000
2.5,0.1,0.0000,0.0000,0.0000,0.0000
2.5,0.15,0.0000,0.0000,0.0000,0.0000
2.5,0.2,0.0000,0.0000,0.0000,0.0000
2.5,0.25,0.0026,0.0005,0.0008,0.0004
2.5,0.3,0.0019,0.0005,0.0008,0.0004
2.5,0.35,0.0054,0.0008,0.0014,0.0007
2.5,0.4,0.0639,0.0073,0.0131,0.0066
2.5,0.45,0.1125,0.0182,0.0313,0.0159
2.5,0.5,0.2202,0.0443,0.0737,0.0383
2.5,0.55,0.4076,0.1170,0.1818,0.1000
2.5,0.6,0.5593,0.1833,0.2762,0.1602
2.5,0.7,0.6486,0.3130,0.4223,0.2677
2.5,0.8,0.7418,0.2389,0.3615,0.2206
2.7,0.05,0.0000,0.0000,0.0000,0.0000
2.7,0.1,0.0000,0.0000,0.0000,0.0000
2.7,0.15,0.0000,0.0000,0.0000,0.0000
2.7,0.2,0.0000,0.0000,0.0000,0.0000
2.7,0.25,0.0026,0.0005,0.0008,0.0004
2.7,0.3,0.0019,0.0005,0.0008,0.0004
2.7,0.35,0.0054,0.0008,0.0014,0.0007
2.7,0.4,0.0692,0.0073,0.0132,0.0067
2.7,0.45,0.1163,0.0182,0.0314,0.0160
2.7,0.5,0.2418,0.0443,0.0749,0.0389
2.7,0.55,0.4233,0.1170,0.1833,0.1009
2.7,0.6,0.5697,0.1833,0.2774,0.1610
2.7,0.7,0.6486,0.3130,0.4223,0.2677
2.7,0.8,0.7469,0.2352,0.3578,0.2179
3.0,0.05,0.0000,0.0000,0.0000,0.0000
3.0,0.1,0.0000,0.0000,0.0000,0.0000
3.0,0.15,0.0000,0.0000,0.0000,0.0000
3.0,0.2,0.0000,0.0000,0.0000,0.0000
3.0,0.25,0.0026,0.0005,0.0008,0.0004
3.0,0.3,0.0019,0.0005,0.0008,0.0004
3.0,0.35,0.0054,0.0008,0.0014,0.0007
3.0,0.4,0.0825,0.0073,0.0134,0.0068
3.0,0.45,0.1219,0.0182,0.0316,0.0161
3.0,0.5,0.2471,0.0443,0.0751,0.0390
3.0,0.55,0.4263,0.1163,0.1828,0.1006
3.0,0.6,0.5706,0.1833,0.2775,0.1611
3.0,0.7,0.6570,0.3072,0.4187,0.2648
3.0,0.8,0.7520,0.2329,0.3557,0.2163
