image_threshold,pixel_threshold,precision,recall,f1,iou
2.2,1.44,0.0224,0.9989,0.0438,0.0224
2.2,1.5,0.0317,0.9971,0.0614,0.0317
2.2,1.86,0.1543,0.8725,0.2622,0.1509
2.2,2.29,0.3618,0.6444,0.4634,0.3016
2.2,2.71,0.5366,0.5249,0.5307,0.3612
2.2,3.14,0.6443,0.3558,0.4585,0.2974
2.2,3.56,0.7069,0.2098,0.3236,0.1930
2.2,3.99,0.7911,0.1359,0.2320,0.1312
2.2,4.41,0.8735,0.0925,0.1672,0.0912
2.62,1.44,0.0259,0.9651,0.0505,0.0259
2.62,1.5,0.0361,0.9634,0.0697,0.0361
2.62,1.86,0.1569,0.8414,0.2645,0.1524
2.62,2.29,0.3596,0.6373,0.4598,0.2985
2.62,2.71,0.5366,0.5249,0.5307,0.3612
2.62,3.14,0.6443,0.3558,0.4585,0.2974
2.62,3.56,0.7069,0.2098,0.3236,0.1930
2.62,3.99,0.7911,0.1359,0.2320,0.1312
2.62,4.41,0.8735,0.0925,0.1672,0.0912
2.9,1.44,0.0322,0.8916,0.0622,0.0321
2.9,1.5,0.0443,0.8916,0.0843,0.0440
2.9,1.86,0.1693,0.7876,0.2787,0.1619
2.9,2.29,0.3577,0.6092,0.4508,0.2909
2.9,2.71,0.5363,0.5243,0.5302,0.3608
2.9,3.14,0.6443,0.3558,0.4585,0.2974
2.9,3.56,0.7069,0.2098,0.3236,0.1930
2.9,3.99,0.7911,0.1359,0.2320,0.1312
2.9,4.41,0.8735,0.0925,0.1672,0.0912
3.18,1.44,0.0343,0.8500,0.0659,0.0340
3.18,1.5,0.0468,0.8500,0.0887,0.0464
3.18,1.86,0.1732,0.7488,0.2813,0.1637
3.18,2.29,0.3520,0.5810,0.4384,0.2807
3.18,2.71,0.5314,0.5120,0.5215,0.3527
3.18,3.14,0.6443,0.3558,0.4585,0.2974
3.18,3.56,0.7069,0.2098,0.3236,0.1930
3.18,3.99,0.7911,0.1359,0.2320,0.1312
3.18,4.41,0.8735,0.0925,0.1672,0.0912
3.46,1.44,0.0328,0.7035,0.0626,0.0323
3.46,1.5,0.0445,0.7035,0.0838,0.0437
3.46,1.86,0.1663,0.6563,0.2654,0.1530
3.46,2.29,0.3366,0.5137,0.4067,0.2552
3.46,2.71,0.5092,0.4592,0.4829,0.3183
3.46,3.14,0.6414,0.3509,0.4536,0.2934
3.46,3.56,0.7069,0.2098,0.3236,0.1930
3.46,3.99,0.7911,0.1359,0.2320,0.1312
3.46,4.41,0.8735,0.0925,0.1672,0.0912
3.74,1.44,0.0326,0.5032,0.0613,0.0316
3.74,1.5,0.0441,0.5032,0.0810,0.0422
3.74,1.86,0.1649,0.4995,0.2479,0.1415
3.74,2.29,0.2921,0.3443,0.3160,0.1877
3.74,2.71,0.4601,0.3556,0.4012,0.2509
3.74,3.14,0.6081,0.3026,0.4041,0.2532
3.74,3.56,0.7064,0.2093,0.3230,0.1926
3.74,3.99,0.7911,0.1359,0.2320,0.1312
3.74,4.41,0.8735,0.0925,0.1672,0.0912
4.02,1.44,0.0237,0.2859,0.0438,0.0224
4.02,1.5,0.0323,0.2859,0.0580,0.0299
4.02,1.86,0.1249,0.2829,0.1733,0.0949
4.02,2.29,0.2576,0.2600,0.2588,0.1487
4.02,2.71,0.4011,0.2673,0.3208,0.1911
4.02,3.14,0.5604,0.2466,0.3425,0.2066
4.02,3.56,0.6958,0.1991,0.3096,0.1831
4.02,3.99,0.7911,0.1359,0.2320,0.1312
4.02,4.41,0.8735,0.0925,0.1672,0.0912
4.31,1.44,0.0255,0.2084,0.0454,0.0232
4.31,1.5,0.0345,0.2084,0.0592,0.0305
4.31,1.86,0.1245,0.2084,0.1559,0.0845
4.31,2.29,0.2506,0.1846,0.2126,0.1189
4.31,2.71,0.3796,0.1969,0.2593,0.1490
4.31,3.14,0.5278,0.1897,0.2791,0.1622
4.31,3.56,0.6742,0.1721,0.2742,0.1589
4.31,3.99,0.7899,0.1349,0.2304,0.1302
4.31,4.41,0.8735,0.0925,0.1672,0.0912
4.59,1.44,0.0273,0.1936,0.0479,0.0245
4.59,1.5,0.0368,0.1936,0.0619,0.0319
4.59,1.86,0.1320,0.1936,0.1569,0.0852
4.59,2.29,0.2626,0.1698,0.2062,0.1150
4.59,2.71,0.3904,0.1823,0.2485,0.1419
4.59,3.14,0.5317,0.1756,0.2640,0.1521
4.59,3.56,0.6702,0.1610,0.2596,0.1492
4.59,3.99,0.7859,0.1302,0.2234,0.1258
4.59,4.41,0.8735,0.0925,0.1672,0.0912
