image_threshold,border_margin,min_area,morphology_kernel,merge_distance,fp_rate,fp_count,avg_fp_pixels,avg_fp_regions,passes_fp_constraint
2.95,1,10,2,12.0,0.0312,2,23.28,0.109,True
2.95,1,15,2,12.0,0.0312,2,23.19,0.094,True
2.95,2,10,2,12.0,0.0312,2,23.28,0.109,True
2.95,2,15,2,12.0,0.0312,2,23.19,0.094,True
2.89,1,10,2,12.0,0.0312,2,23.28,0.109,True
2.89,1,15,2,12.0,0.0312,2,23.19,0.094,True
2.89,2,10,2,12.0,0.0312,2,23.28,0.109,True
2.89,2,15,2,12.0,0.0312,2,23.19,0.094,True
2.65,1,10,2,12.0,0.0312,2,23.28,0.109,True
2.65,1,15,2,12.0,0.0312,2,23.19,0.094,True
2.65,2,10,2,12.0,0.0312,2,23.28,0.109,True
2.65,2,15,2,12.0,0.0312,2,23.19,0.094,True
2.56,1,10,2,12.0,0.0469,3,53.27,0.172,False
2.56,1,15,2,12.0,0.0469,3,53.17,0.156,False
2.56,2,10,2,12.0,0.0469,3,53.27,0.172,False
2.56,2,15,2,12.0,0.0469,3,53.17,0.156,False
