image_threshold,border_margin,min_area,morphology_kernel,merge_distance,fp_rate,fp_count,avg_fp_pixels,avg_fp_regions,passes_fp_constraint
3.41,1,10,2,12.0,0.0238,1,11.93,0.071,True
3.41,1,15,2,12.0,0.0238,1,11.93,0.071,True
3.41,2,10,2,12.0,0.0238,1,11.93,0.071,True
3.41,2,15,2,12.0,0.0238,1,11.93,0.071,True
3.35,1,10,2,12.0,0.0238,1,11.93,0.071,True
3.35,1,15,2,12.0,0.0238,1,11.93,0.071,True
3.35,2,10,2,12.0,0.0238,1,11.93,0.071,True
3.35,2,15,2,12.0,0.0238,1,11.93,0.071,True
3.25,1,10,2,12.0,0.0238,1,11.93,0.071,True
3.25,1,15,2,12.0,0.0238,1,11.93,0.071,True
3.25,2,10,2,12.0,0.0238,1,11.93,0.071,True
3.25,2,15,2,12.0,0.0238,1,11.93,0.071,True
3.2,1,10,2,12.0,0.0238,1,11.93,0.071,True
3.2,1,15,2,12.0,0.0238,1,11.93,0.071,True
3.2,2,10,2,12.0,0.0238,1,11.93,0.071,True
3.2,2,15,2,12.0,0.0238,1,11.93,0.071,True
3.12,1,10,2,12.0,0.0476,2,25.74,0.333,False
3.12,1,15,2,12.0,0.0476,2,25.1,0.262,False
3.12,2,10,2,12.0,0.0476,2,25.74,0.333,False
3.12,2,15,2,12.0,0.0476,2,25.1,0.262,False
