image_threshold,border_margin,min_area,morphology_kernel,merge_distance,fp_rate,fp_count,avg_fp_pixels,avg_fp_regions,passes_fp_constraint
2.72,1,15,2,10.0,0.0208,1,9.79,0.062,True
2.72,1,20,2,10.0,0.0208,1,9.54,0.042,True
2.72,2,15,2,10.0,0.0208,1,9.79,0.062,True
2.72,2,20,2,10.0,0.0208,1,9.54,0.042,True
2.66,1,15,2,10.0,0.0208,1,9.79,0.062,True
2.66,1,20,2,10.0,0.0208,1,9.54,0.042,True
2.66,2,15,2,10.0,0.0208,1,9.79,0.062,True
2.66,2,20,2,10.0,0.0208,1,9.54,0.042,True
2.3,1,15,2,10.0,0.0208,1,9.79,0.062,True
2.3,1,20,2,10.0,0.0208,1,9.54,0.042,True
2.3,2,15,2,10.0,0.0208,1,9.79,0.062,True
2.3,2,20,2,10.0,0.0208,1,9.54,0.042,True
2.0,1,15,2,10.0,0.0208,1,9.79,0.062,True
2.0,1,20,2,10.0,0.0208,1,9.54,0.042,True
2.0,2,15,2,10.0,0.0208,1,9.79,0.062,True
2.0,2,20,2,10.0,0.0208,1,9.54,0.042,True
