image_threshold,pixel_threshold,precision,recall,f1,iou
2.0,0.5,0.0200,0.8554,0.0391,0.0199
2.0,0.88,0.0326,0.9541,0.0630,0.0325
2.0,1.25,0.0614,0.9326,0.1152,0.0611
2.0,1.4,0.0853,0.8818,0.1556,0.0843
2.0,1.63,0.1536,0.7851,0.2570,0.1474
2.0,2.0,0.4162,0.5899,0.4880,0.3228
2.0,2.38,0.7066,0.3685,0.4844,0.3196
2.0,2.76,0.8223,0.1445,0.2458,0.1402
2.0,3.13,0.8440,0.0336,0.0647,0.0334
2.28,0.5,0.0218,0.7107,0.0422,0.0216
2.28,0.88,0.0360,0.8149,0.0690,0.0357
2.28,1.25,0.0674,0.8259,0.1246,0.0664
2.28,1.4,0.0929,0.8010,0.1665,0.0908
2.28,1.63,0.1624,0.7439,0.2666,0.1538
2.28,2.0,0.4175,0.5885,0.4884,0.3231
2.28,2.38,0.7066,0.3685,0.4844,0.3196
2.28,2.76,0.8223,0.1445,0.2458,0.1402
2.28,3.13,0.8440,0.0336,0.0647,0.0334
2.42,0.5,0.0229,0.6294,0.0443,0.0226
2.42,0.88,0.0385,0.7258,0.0732,0.0380
2.42,1.25,0.0698,0.7189,0.1272,0.0679
2.42,1.4,0.0955,0.7004,0.1681,0.0918
2.42,1.63,0.1659,0.6628,0.2653,0.1530
2.42,2.0,0.4165,0.5571,0.4767,0.3129
2.42,2.38,0.7066,0.3685,0.4844,0.3196
2.42,2.76,0.8223,0.1445,0.2458,0.1402
2.42,3.13,0.8440,0.0336,0.0647,0.0334
2.55,0.5,0.0237,0.5497,0.0454,0.0232
2.55,0.88,0.0400,0.6465,0.0754,0.0392
2.55,1.25,0.0720,0.6428,0.1294,0.0692
2.55,1.4,0.0989,0.6319,0.1711,0.0935
2.55,1.63,0.1718,0.6075,0.2679,0.1546
2.55,2.0,0.4207,0.5341,0.4707,0.3078
2.55,2.38,0.7066,0.3685,0.4844,0.3196
2.55,2.76,0.8223,0.1445,0.2458,0.1402
2.55,3.13,0.8440,0.0336,0.0647,0.0334
2.69,0.5,0.0239,0.5147,0.0457,0.0234
2.69,0.88,0.0405,0.6129,0.0760,0.0395
2.69,1.25,0.0737,0.6056,0.1315,0.0704
2.69,1.4,0.1016,0.5963,0.1737,0.0951
2.69,1.63,0.1758,0.5771,0.2695,0.1557
2.69,2.0,0.4243,0.5131,0.4645,0.3025
2.69,2.38,0.7051,0.3648,0.4808,0.3165
2.69,2.76,0.8223,0.1445,0.2458,0.1402
2.69,3.13,0.8440,0.0336,0.0647,0.0334
2.82,0.5,0.0237,0.4724,0.0452,0.0231
2.82,0.88,0.0403,0.5636,0.0753,0.0391
2.82,1.25,0.0737,0.5604,0.1302,0.0697
2.82,1.4,0.1018,0.5539,0.1720,0.0941
2.82,1.63,0.1763,0.5391,0.2657,0.1532
2.82,2.0,0.4270,0.4833,0.4534,0.2931
2.82,2.38,0.7044,0.3517,0.4692,0.3065
2.82,2.76,0.8223,0.1445,0.2458,0.1402
2.82,3.13,0.8440,0.0336,0.0647,0.0334
2.96,0.5,0.0235,0.3516,0.0441,0.0225
2.96,0.88,0.0406,0.4277,0.0742,0.0385
2.96,1.25,0.0756,0.4201,0.1281,0.0684
2.96,1.4,0.1039,0.4162,0.1663,0.0907
2.96,1.63,0.1800,0.4082,0.2499,0.1428
2.96,2.0,0.4380,0.3768,0.4051,0.2540
2.96,2.38,0.7069,0.2968,0.4181,0.2643
2.96,2.76,0.8254,0.1418,0.2420,0.1377
2.96,3.13,0.8440,0.0336,0.0647,0.0334
3.09,0.5,0.0216,0.2308,0.0396,0.0202
3.09,0.88,0.0379,0.2662,0.0663,0.0343
3.09,1.25,0.0695,0.2616,0.1098,0.0581
3.09,1.4,0.0956,0.2592,0.1397,0.0751
3.09,1.63,0.1639,0.2537,0.1992,0.1106
3.09,2.0,0.4025,0.2350,0.2967,0.1742
3.09,2.38,0.6668,0.1899,0.2956,0.1735
3.09,2.76,0.8029,0.1136,0.1991,0.1105
3.09,3.13,0.8440,0.0336,0.0647,0.0334
3.23,0.5,0.0217,0.1725,0.0385,0.0196
3.23,0.88,0.0362,0.1810,0.0603,0.0311
3.23,1.25,0.0656,0.1773,0.0958,0.0503
3.23,1.4,0.0899,0.1759,0.1190,0.0633
3.23,1.63,0.1553,0.1729,0.1636,0.0891
3.23,2.0,0.3859,0.1609,0.2271,0.1281
3.23,2.38,0.6302,0.1338,0.2207,0.1240
3.23,2.76,0.7710,0.0891,0.1598,0.0868
3.23,3.13,0.8440,0.0336,0.0647,0.0334
